City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,butaritari,3.0707,172.7902,27.5,77,15,9.03,KI,1674026424
1,kristiansund,63.1115,7.732,0.36,69,20,1.03,NO,1674026424
2,tuktoyaktuk,69.4541,-133.0374,-23.04,99,100,3.45,CA,1674026424
3,baoning,25.3378,110.026,10.92,24,75,2.0,CN,1674026424
4,nantucket,41.2835,-70.0995,6.19,87,100,4.63,US,1674026424
5,jamestown,42.097,-79.2353,2.8,72,100,4.12,US,1674026425
6,hermanus,-34.4187,19.2345,24.33,80,96,0.43,ZA,1674026425
7,tuatapere,-46.1333,167.6833,17.07,71,72,1.47,NZ,1674026425
8,hay river,60.8156,-115.7999,-12.01,85,20,1.54,CA,1674026426
9,rikitea,-23.1203,-134.9692,25.86,70,25,2.98,PF,1674026426
10,arraial do cabo,-22.9661,-42.0278,23.03,94,3,6.89,BR,1674026426
11,aklavik,68.2191,-135.0107,-25.95,98,100,0.64,CA,1674026426
12,new norfolk,-42.7826,147.0587,18.73,45,32,4.02,AU,1674026427
13,ushuaia,-54.8,-68.3,11.81,71,40,2.06,AR,1674026243
14,port-cartier,50.0334,-66.8654,1.12,94,100,1.81,CA,1674026428
15,mataura,-46.1927,168.8643,20.63,59,31,1.73,NZ,1674026428
16,casa nova,-9.4167,-41.1333,23.48,68,100,6.76,BR,1674026428
17,flinders,-34.5833,150.8552,25.66,77,94,4.02,AU,1674026429
18,sao miguel,-5.4667,-35.3667,23.43,86,68,4.99,BR,1674026429
19,bluff,-46.6,168.3333,15.26,77,6,5.06,NZ,1674026429
20,port elizabeth,-33.918,25.5701,28.94,88,0,5.66,ZA,1674026325
21,faya,18.3851,42.4509,16.29,59,10,1.16,SA,1674026430
22,bredasdorp,-34.5322,20.0403,22.85,86,100,1.65,ZA,1674026430
23,prachin buri,14.0833,101.6667,32.16,32,9,3.02,TH,1674026430
24,salinopolis,-0.6136,-47.3561,24.11,89,100,2.34,BR,1674026431
25,puerto ayora,-0.7393,-90.3518,23.08,98,89,2.42,EC,1674026432
26,maltahohe,-24.8333,16.9833,26.13,33,100,3.48,NA,1674026401
27,lavrentiya,65.5833,-171.0,-30.34,94,34,4.14,RU,1674026432
28,tiksi,71.6872,128.8694,-31.14,100,100,1.98,RU,1674026433
29,bilibino,68.0546,166.4372,-34.15,98,46,1.06,RU,1674026433
30,chute-aux-outardes,49.1168,-68.399,-2.01,93,100,2.57,CA,1674026433
31,vaini,-21.2,-175.2,27.09,94,20,2.57,TO,1674026434
32,wilmington,34.2257,-77.9447,12.73,79,75,1.54,US,1674026434
33,hilo,19.7297,-155.09,23.12,91,75,1.54,US,1674026434
